Company_Name,Class,Designation,Location,Total_applicants
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Karnataka,15
IDESLABS PRIVATE LIMITED,Class 4,Sr. Test Engineer, Karnataka,82
IDESLABS PRIVATE LIMITED,Class 4,Associate Tech Specialist, Karnataka,43
IDESLABS PRIVATE LIMITED,Class 4,Engineer, Karnataka,21
IDESLABS PRIVATE LIMITED,Class 4,Test Engineer, Maharashtra,27
IDESLABS PRIVATE LIMITED,Class 4,Sr. Associate -UX, Karnataka,11
IDESLABS PRIVATE LIMITED,Class 4,SAP QA Tester, Telangana,4
IDESLABS PRIVATE LIMITED,Class 4,Software Engineer, Uttar Pradesh,74
IDESLABS PRIVATE LIMITED,Class 4,SAP BW- Tech Lead, Telangana,9
IDESLABS PRIVATE LIMITED,Class 4,Test Engineer, Maharashtra,46
IDESLABS PRIVATE LIMITED,Class 4,Core Java, Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,Sr. Engineer, Telangana,18
IDESLABS PRIVATE LIMITED,Class 4,QA, Karnataka,2
IDESLABS PRIVATE LIMITED,Class 4,Angular Developer, Delhi,11
IDESLABS PRIVATE LIMITED,Class 4,Java Developer, Tamil Nadu,22
IDESLABS PRIVATE LIMITED,Class 4,Web Developer, Maharashtra,35
IDESLABS PRIVATE LIMITED,Class 4,AWS Devops engineer, Maharashtra,5
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Telangana,39
IDESLABS PRIVATE LIMITED,Class 4,Java Developers, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,SAP ABAP(HR), Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,Associate Tech Specialist, Maharashtra,0
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Uttar Pradesh,0
IDESLABS PRIVATE LIMITED,Class 4,Associate Team Lead, Telangana,23
IDESLABS PRIVATE LIMITED,Class 4,.Net Lead, Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,Sr. Security Analyst, Telangana,52
IDESLABS PRIVATE LIMITED,Class 4,.NET Full stack Developer, Odisha,7
IDESLABS PRIVATE LIMITED,Class 4,Sr. Engineer, Telangana,7
IDESLABS PRIVATE LIMITED,Class 4,SAP Project Manager, Telangana,23
IDESLABS PRIVATE LIMITED,Class 4,Informatica Developer, Karnataka,46
IDESLABS PRIVATE LIMITED,Class 4,Delivery Head, Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,Software Engineer, Telangana,88
IDESLABS PRIVATE LIMITED,Class 4,Lead-PMO, Maharashtra,156
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Telangana,31
IDESLABS PRIVATE LIMITED,Class 4,SAP BASIS, Telangana,22
